[Tue Mar 01 11:06:51.061905 2016] [:error] [pid 27692] [client 192.168.1.4:53121] PHP Parse error:  syntax error, unexpected '}' in /var/www/Quote/public_html/application/controllers/Profile.php on line 24, referer: http://quote.com/profile/masquetina
[Tue Mar 01 11:06:51.972803 2016] [:error] [pid 27692] [client 192.168.1.4:53121] PHP Parse error:  syntax error, unexpected '}' in /var/www/Quote/public_html/application/controllers/Profile.php on line 24, referer: http://quote.com/profile/masquetina
[Tue Mar 01 11:07:27.026490 2016] [:error] [pid 27688] [client 192.168.1.4:53122] PHP Parse error:  syntax error, unexpected '}' in /var/www/Quote/public_html/application/views/profile.php on line 26, referer: http://quote.com/profile/masquetina
[Tue Mar 01 11:07:27.781244 2016] [:error] [pid 27688] [client 192.168.1.4:53122] PHP Parse error:  syntax error, unexpected '}' in /var/www/Quote/public_html/application/views/profile.php on line 26, referer: http://quote.com/profile/masquetina
[Tue Mar 01 11:07:55.758823 2016] [:error] [pid 3350] [client 192.168.1.4:53123] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in /var/www/Quote/public_html/application/views/profile.php on line 86, referer: http://quote.com/profile/masquetina
[Tue Mar 01 11:07:56.600217 2016] [:error] [pid 3350] [client 192.168.1.4:53123] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in /var/www/Quote/public_html/application/views/profile.php on line 86, referer: http://quote.com/profile/masquetina
[Tue Mar 01 11:58:13.993503 2016] [:error] [pid 3350] [client 192.168.1.4:53417] PHP Fatal error:  Call to undefined function row() in /var/www/Quote/public_html/application/views/profile.php on line 16, referer: http://quote.com/
[Tue Mar 01 11:58:15.044119 2016] [:error] [pid 3309] [client 192.168.1.4:53418] PHP Fatal error:  Call to undefined function row() in /var/www/Quote/public_html/application/views/profile.php on line 16, referer: http://quote.com/
[Tue Mar 01 11:58:28.844319 2016] [:error] [pid 3302] [client 192.168.1.4:53420] PHP Parse error:  syntax error, unexpected ':' in /var/www/Quote/public_html/application/views/profile.php on line 16, referer: http://quote.com/
[Tue Mar 01 11:59:48.778045 2016] [:error] [pid 27692] [client 192.168.1.4:53421] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /var/www/Quote/public_html/application/views/profile.php on line 85, referer: http://quote.com/
[Tue Mar 01 11:59:49.922294 2016] [:error] [pid 27692] [client 192.168.1.4:53421] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /var/www/Quote/public_html/application/views/profile.php on line 85, referer: http://quote.com/
[Tue Mar 01 12:01:05.780241 2016] [:error] [pid 27690] [client 192.168.1.4:53433] PHP Parse error:  syntax error, unexpected '$query' (T_VARIABLE) in /var/www/Quote/public_html/application/models/User.php on line 17, referer: http://quote.com/
[Tue Mar 01 12:01:06.727914 2016] [:error] [pid 27690] [client 192.168.1.4:53433] PHP Parse error:  syntax error, unexpected '$query' (T_VARIABLE) in /var/www/Quote/public_html/application/models/User.php on line 17, referer: http://quote.com/
